drug_id,fda,fda_altname,anxiety,anxiety_altname
azathioprine,Pyridoxine,"Lyphomed,Hexa-Betalin,Pyridoxine HCl,PYRID-20,M.V.I.-12,Pyridox-Roche,Vital Foods,Benadon,Vitalife,Comploment Continus,Pyridoxine,NSC-36225,Pyridoxol HCl,Pyridox HCl,PYRID-10,VITAMIN B6,OROVITE COMPLOMENT B6,KENT B6,PYRIDOXINE (VIT B6),Pyridoxine Hydrochloride,Beesix",ALPRAZOLAM,"Alprazolam,Alprazolam CIV,Niravam,U 31\,889,U-31889,Xanax,Xanax XR"
flumazenil,Vigabatrin,"CPP-109,Gamma-Vinyl GABA,MDL-71754,RMI-71754,Sabril,Vigabatrin,Vinyl Gamma-Aminobutyric acid",AMOXAPINE,"Amoxapine,Asendin,Asendis,CL-67772,Defanyl"
dibenzyline,Cis-Platin,"Cis-Diamminedichloroplatinum(Ii),Cis-Dichlorodiamine Platinum,Cisplatin,Cisplatinum",BUSPIRONE,"APD405,APD-405,BCI-024,Buspar,Buspirone,Buspirone HCl,Buspirone Hydrochloride,MJ-9022-1"
ipratropium bromide,Propofol,"Diprivan,Disoprivan,Disoprofol,ICI 35-868,ICI-35868,ICI35\,868,Monodeuterated Propofol,NSC-5105,Propofol,Rapinovet,Trideuterated Propofol",Amitriptyline,"Amitriptyline HCl,Saroten Retard,Amitriptyline Hydrochloride,Triptafen,Etrafon-A,NIH 10794,Amitid,Lentizol,Domical,Tryptizol,Cytriptyline,Saroten,Triptafen-M,LIMBITROL 5,TRYPTIZOL-75,NSC-104210,Amitryptiline Hydrochloride,Amitril,Limbitrol,Elavil,Etrafon-Forte,Amitriptyline,Endep"
mycophenolic acid,Thiabendazole,"E233,Equizole,Mintezol,MK-360,Omnizole,Thiabendazole,Tiabendazole",CHLORDIAZEPOXIDE,"A-Poxide,Chlordiazachel,Chlordiazepoxide,Chlordiazepoxide CIV,Chlordiazepoxide HCl,Clopoxide,Clopoxide Chloride,Librelease,Libritabs,Librium,Lygen,RO-50690,RO-5-0690,Sarlib,Trakipeal,Tropium,Zeisin"
sirolimus,Bethanechol,"Bethanechol,Bethanechol Chloride,Carbamylmethylcholine Chloride,Duvoid,Myocholine,Myotonachol,Myotonine,NSC-30783,Urecholine",DIAZEPAM,"Scriptopam,ALUPRAM 5,Dizac,Q-Pam,Solis,Relanium,Diastat,E-Pam,Valium,RO-5-2807,NSC-77518,Atensine,Diazepam Intensol,Paxel,Apozepam,Vivol,RO-52807,Tranimul,ALUPRAM 2,Diazepam CIV,Diazepam,NSC-169897,Stesolid,Dialar,Diazepam (Dea License),Serenack,Valclair,ALUPRAM 10,WY-3467,Tensium,Dialar FTE,Valrelease,Diastat Acudial,LA-III"
tolazamide,Mesalamine,"MAX-002,Rowasa,Salofalk,Asacol HD,Pentasa SR,Mesalazine,Delzicol,NSC-38877,Coltec EC,Sfrowasa,Apriso,Lialda,Ipocol,Mesalamine,Canasa,5-Amino-2-hydroxy-benzoic acid,Pentasa,Mesren MR,Asacol,Mezavant XL,Fisalamine,Octasa",DOXEPIN,"Adapin,Doxepin,Doxepin HCl,Doxepin Hydrochloride,NSC-108160,P-3693A,Quitaxon,Silenor,Sinepin,Sinequan,Xepin,Zonalon"
levetiracetam,Methoxsalen,"8-Methoxypsoralen,8-MOP,Deltasoralen,Meladinine,Methoxsalen,NSC-45923,Oxsoralen,Oxsoralen-Ultra,PUVASORALEN-8,SM-88 COMPONENT METHOXSALEN,Uvadex,Xanthotoxin",DULOXETINE,"Ariclaim,Cymbalta,Duciltia,Duloxetine,Duloxetine HCl,Duloxetine Hydrochloride,LY248686,LY-248686,LY-248686 HCL,LY248686 HCL,Yentreve"
epirubicin hydrochloride,Aminohippuric acid,"Aminohippurate Sodium,Aminohippuric acid,NSC-13064,Paha,P-Aminohippurate Sodium,P-Aminohippuric acid,Para-Aminohippurate Sodium [Injection],Para-Aminohippuric acid,.Rho.-Aminohippuric Acid Sodium Salt,Sodium P-Aminohippurate",ESCITALOPRAM,"Cipralex,Escitalopram,Escitalopram Oxalate,Lexapro,LU-26-054,LU 26-054-0,LU-260540,LU-26-054-0,LU-26-054-O"
probenecid,Histamine 2HCl,"Ceplene,Histamine,Histamine Dihydrochloride,Histamine Dihydrocloride,Histamine Hydrochloride,Histamine Phosphate,NSC-257873,NSC-33792",HYDROXYZINE,"Atarax,Hydroxizine Chloride,Hydroxyzine,Hydroxyzine Dihydrochloride,Hydroxyzine HCl,Hydroxyzine Pamoate,HY-Pam,""HY-PAM """"25"""""",HY-PAM ""25"",NSC-169188,Orgatrax,Ucerax,Vistaril"
iopanoic acid,Baclofen,"BA-34647,Baclofen,Baclofen (R\,S),BACLOSPAS-10,Gablofen,Kemstro,Lioresal,Lioresal Intrath,Lyflex",ISOCARBOXAZID,"Isocarboxazid,Marplan,NSC-169893,RO 5-0831,RO-5-0831"
gemfibrozil,Olanzapine,"Arkolamyl,LY170053,LY-170053,Olanzapine,Olanzapine Pamoate,Zalasta,Zyprexa,Zyprexa Relprevv,Zyprexa Zydis",LORAZEPAM,"Abbloraz,Ativan,Loraz,Lorazepam,Lorazepam CIV,Lorazepam Intensol,Lorazepam Preservative FREE,NSC-289758,Temesta,WY-4036"
azacitidine,DIMETHYL FUMARATE,"AZL-0211089,AZL O 211089,AZL-O-211089,BG00012,BG 00012,BG-00012,BG 12,BG-12,Dimethyl Fumar,Dimethyl Fumarate,FAG-201,FP187,FP-187,Fumaric Acid Dimethyl Ester,NSC-167432,NSC-25942,Tecfidera",MAPROTILINE,"BA-34276 [AS HYDROCHLORIDE],BA-34\,276 FREE BASE,BA-34276 FREE BASE,Ludiomil,Maprotiline,Maprotiline HCl,Maprotiline Hydrochloride,Maprotilline HCl"
lorazepam,Temozolomide,"CCRG-81045,M-39831,M&B-39831,NSC-362856,SCH-52365,Temodal,Temodar,Temomedac,Temozolamide,Temozolomide",PAROXETINE,"[3H]-Paroxetine,Brisdelle,BRL-29060,Paroxetine,Paroxetine HCl,Paroxetine Hydrochloride,Paroxetine Hydrochloride Hemihydrate,Paroxetine Maleate,Paroxetine Mesilate,Paroxetine Mesylate,Paroxetine Methanesulfonate,Paxil,Paxil [As Hydrochloride],Paxil CR,Pexeva,Pot.Mes,PO-T.Mes,Seroxat"
tacrolimus,Antipyrine,"Antipyrin,Antipyrine,NSC-7945,Phenazon,Phenazone",PERPHENAZINE,"Chlorpiprazine,Decentan,Etaperazine,Fentazin,NSC-150866,Perphenazine,Perphenazine Fendizoate,Perphenazine Maleate,Trilafon,Trilafon-LA"
palbociclib,Theophylline,"Aminophylline,Theophylline Monohydrate",Phenelzine,"Nardil,NSC-170957,Phenelzine,Phenelzine Acid Sulfate,Phenelzine Sulfate,Phenelzine Sulfate Salt"
flavoxate hydrochloride,Acamprosate,"Acamprosate,Acamprosate Calcium,Campral,Campral EC",PROCHLORPERAZINE,"10H-Phenothiazine\, 2-chloro-10-[3-(4-methyl-1-piperazinyl)propyl- [cas],Buccastem,Buccastem M,Compazine,Compro,Prochlorperazine,Prochlorperazine Dimaleate,Prochlorperazine Edisylate,Prochlorperazine Ethanedisulfonate,Prochlorperazine Maleate,Prochlorperazine Mesilate,Procomp,Proziere,Stemetil EFF,Vertigon"
decitabine,Etilefrine,"Effortil,Effortil Depot Perlongetten,Etilefrine,Etilefrine HCl,Etilefrine Hydrochloride",SERTRALINE,"Aremis,Besitron,CP-519741,CP-51974-1,Lustral,Sertraline,Sertraline HCl,Sertraline Hydrochloride,Zoloft"
verapamil hydrochloride,Ethotoin,"Ethotoin,Peganone",TRAZODONE,"AF-1161,Desyrel,J10.767K,Molipaxin,Molipaxin CR,NSC-292811,Oleptro,Trazodone,Trazodone HCl,Trazodone Hydrochloride,Trialodine"
regorafenib,Tolazoline,"Benzazoline HCl,Benzidazol,Priscol,Priscoline,TCMDC-125842,Tolazoline,Tolazoline HCl,Tolazoline Hydrochloride",TRIFLUOPERAZINE,"Amylozine,Stelazine,Stelazine FTE,Trifluoperazine,TRIFLUOPERAZINE?2HCL,Trifluoperazine Dihydrochloride,Trifluoperazine HCl,Trifluoperazine Hydrochloride,Trifluoperazine Maleate"
carvedilol,Pasiniazid,"Dow-Isoniazid,Hyzyd,Inh,Isoniazid,Isonicotinylhydrazine,Laniazid,Nicotibine,NSC-9659,Nydrazid,Pyridine-4-carbohydrazide,Rimifon,Stanozide",VENLAFAXINE,"Desvenlafaxine,Desvenlafaxine Fumarate,Desvenlafaxine Succinate,Desvenlafaxine Succinate Anhydrous,Desvenlafaxine Succinate Hydrate,Desvenlafaxine Succinate Monohydrate,DVS-233,Khedezla,O-Desmethylvenlafaxine,Odv,Pristiq,WY-45233"
mitotane,Diethylpropion,"Amfepramone,Amfepramone Hydrochloride,Apisate,C06954,D03801,D07444,Diethylpropion,Diethylpropion HCl,Diethylpropion Hydrochloride CIV,J4.327C,Tenuate,Tenuate Dospan,Tepanil,Tepanil Ten-Tab",FLUOXETINE,"Felicium,Fluoxetine,Fluoxetine HCl,(?)-Fluoxetine hydrochloride,Fluoxetine Hydrochloride,LY110140,LY-110140,NSC-283480,Olena,Oxactin,Prozac,PROZAC 60,Prozac Weekly,Prozep,Prozit,Ranflutin,Sarafem,Selfemra,Symbyax"
gefitinib,Ethosuximide,"CI-366,CN-10395,Emeside,Ethosuximide,NSC-64013,PM-671,Suxinutin,Zarontin",CLONAZEPAM,"Clonazepam,Clonazepam CIV,Klonopin,Klonopin Rapidly Disintegrating,NSC-179913,Rivotril,RO-54023,RO-5-4023"
hydroxychloroquine sulfate,Amifostine,"Amifostine,Amifostine Disulfide,Amifostine Trihydrate,Ethiofos,Ethyol,Gammaphos,NSC-296961,WR-2721,WR-2721 TRIHYDRATE,YM-08310",,
calcitriol,Coumarin,"Coumarin,Lodema,NSC-8774",,
tivozanib,Propylthiouracil,"NSC-6498,NSC-70461,Propacil,Propylthiouracil,Prothyran,Thyreostat",,
tubocurarine chloride,Edaravone,"Antipyrine Related Compound A,Edaravone,MCI-186,Norphenazone,NSC-12,NSC-26139,NSC-2629,Radicava,Radicut",,
